logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene.Symbol	significant_logFC_1	significant_logFC_2	significant_logFC_3
-1.11133686495149	8.99968591639144	-2.37806494338623	0.0219367459282957	0.862466466859627	-3.45821351618031	PSRC1	yes	no	no
-1.12065517525967	8.38367225432711	-2.37328643001579	0.0221882590200879	0.865048705217182	-3.46409959501274	MREG	yes	no	no
-1.00583134677109	9.03416735938472	-2.35175124290627	0.0233542505802153	0.86882249442736	-3.49052769920751	SDF2L1	yes	no	no
-1.18212100223307	6.96626467545498	-2.34751468994363	0.0235900122022698	0.86882249442736	-3.4957077398479	HOXA3	yes	no	no
1.78628955265529	10.0218498798997	2.33104795704526	0.0245268073337503	0.86882249442736	-3.51578163293004	SPON1	yes	no	no
1.11378887728057	10.7489432946152	2.31033555026151	0.0257524468475873	0.880649153704616	-3.54089474271254	PTGS1	yes	no	no
-1.12829858732963	10.9419731243367	-2.29380624477661	0.026769592327789	0.889793335919261	-3.56082587567544	IFI16	yes	no	no
-1.17939061106689	9.88311857424319	-2.293407596948	0.0267945609638277	0.889793335919261	-3.56130535296219	IRS2	yes	no	no
-1.26300618346112	10.1124950400483	-2.29290430079971	0.026826113800981	0.889793335919261	-3.56191061502448	RAB31	yes	no	no
-1.41586831237043	10.6644731019745	-2.28929847004571	0.0270531448742332	0.889793335919261	-3.56624429709722	MDK	yes	no	no
1.08549591186745	7.13474941398683	2.2526363147357	0.0294607465606075	0.891047159777975	-3.61003838585488	FOLR3	yes	no	no
1.28043453071136	8.02708084534108	2.25151936716375	0.0295370023759446	0.891047159777975	-3.61136488905412	IGF1	yes	no	no
2.51903256628422	8.92910654574738	2.18598030098426	0.0343305577975873	0.895409611878479	-3.68838684477882	ADIRF	yes	yes	no
1.52016416142492	8.65329937631794	2.17618466720196	0.0351032727041822	0.895409611878479	-3.69975970382045	SCARA3	yes	no	no
1.22728993679453	9.8907193373667	2.17169771016471	0.0354623239188453	0.895409611878479	-3.70495689436143	NUPR1	yes	no	no
-1.0256236611153	7.99476192716882	-2.15121062913386	0.0371432502663252	0.895409611878479	-3.72858871526463	SYT17	yes	no	no
-1.02262028804258	7.0255491141882	-2.11720607448337	0.0400885278747535	0.895409611878479	-3.7674543305558	KHDRBS3	yes	no	no
-1.03703478138504	9.69995572174365	-2.11231515852318	0.0405286029171632	0.895409611878479	-3.77300727219641	SALL2	yes	no	no
1.38473736434407	8.7804442432286	2.08685575999555	0.0428885143222775	0.895409611878479	-3.80176047117923	ENPP2	yes	no	no
-1.20885391109405	9.59297588688245	-2.05912621489646	0.0455948393691659	0.895409611878479	-3.83278423801617	SPRY4	yes	no	no
-1.08690111317354	8.38730493355718	-2.04434591759086	0.0470973334413587	0.895409611878479	-3.84919422978174	EZH2	yes	no	no
1.33181856390671	10.242648131268	2.03665519920401	0.047896055326899	0.895409611878479	-3.85769797878832	PTGDS	yes	no	no
-2.38813812308631	9.84803679953302	-2.02612741190575	0.0490085132122906	0.895409611878479	-3.86929973893066	S100A9	yes	yes	no
